changed,file,id,title,current,proposed,proposed_titles,rationale
YES,learn/animation/animation-blueprints-and-blendspaces.md,ANIM-401,Anim Blueprints & Blendspaces,AV.17.1,"GD.17.6,AV.18.4",Scripting & Level Layout | Animation Production,Anim Blueprints are visual scripting driving game logic.
YES,learn/animation/biped-rigging-and-weight-painting.md,ANIM-201,Biped Rigging & Weight Painting,AV.17.1,AV.17.8,3D Animation Fundamentals,AV.17.8 text explicitly covers developing and applying rigging systems.
YES,learn/animation/combat-and-action-poses.md,ANIM-301,Action Poses & Impact Keying,AV.17.1,"AV.18.4,AV.17.4",Animation Production | Character Design & Posing,Action poses are named in AV.17.4; the keying work is AV.18.4.
YES,learn/animation/idle-and-locomotion-cycles.md,ANIM-202,Walk & Run Cycles,AV.17.1,"AV.18.4,AV.17.7",Animation Production | Animation Principles,Locomotion cycles are animation production applying timing and arcs.
YES,learn/animation/keyframing-and-graph-editor.md,ANIM-102,Graph Editor & Interpolation,AV.17.1,"AV.18.4,AV.17.7",Animation Production | Animation Principles,Animating via keyframes is AV.18.4; interpolation serves the principles.
YES,learn/animation/principles-of-animation-in-3d.md,ANIM-101,12 Principles in 3D,AV.17.1,AV.17.7,Animation Principles,AV.17.7 is literally 'apply the twelve principles of animation'.
YES,learn/blender/baking-normal-maps.md,BLND-206,Baking Normal Maps,"10.3,GD.17.4","GD.18.8,AV.17.8",Game Performance & Evaluation | 3D Animation Fundamentals,Baking is an optimization technique for real-time assets.
YES,learn/blender/cameras-and-rendering.md,BLND-208,Cameras and Rendering,"15.6,15.8","15.9,15.6",Rendering & Exporting | Cinematic Techniques,15.9 is Rendering & Exporting; camera work is 15.6 cinematic technique.
YES,learn/blender/edit-mode-basics.md,BLND-104,Edit Mode Basics,GD.17.4,"GD.17.4,4.3",Art & Design Fundamentals | Industry-Standard Technology,Mesh editing as both craft and tool fluency.
YES,learn/blender/game-ready-export.md,BLND-211,Game-Ready Export,"4.5,4.5","15.9,4.5",Rendering & Exporting | Document & Asset Management,Deduped. Export to spec is 15.9.
YES,learn/blender/hard-surface-modeling.md,BLND-202,Hard Surface Modeling,GD.17.4,"GD.17.4,AV.17.8",Art & Design Fundamentals | 3D Animation Fundamentals,Hard surface prop and vehicle modeling.
YES,learn/blender/interface-and-navigation.md,BLND-101,Interface and Navigation,"GD.17.4,GD.17.4",4.3,Industry-Standard Technology,"Tool navigation is industry-standard technology, not art fundamentals."
YES,learn/blender/keyframe-animation-basics.md,BLND-210,Keyframe Animation Basics,AV.17.8,"AV.17.7,AV.18.4",Animation Principles | Animation Production,Keyframing applies animation principles.
YES,learn/blender/lighting-in-blender.md,BLND-207,Lighting in Blender,10.3,AV.17.1,Art & Design Fundamentals,"AV.17.1 names lighting sources, types, and mood directly."
YES,learn/blender/modifiers-introduction.md,BLND-105,Modifiers Introduction,GD.17.4,"4.3,GD.17.4",Industry-Standard Technology | Art & Design Fundamentals,Modifier workflow is software capability applied to asset creation.
YES,learn/blender/modular-kit-building.md,BLND-302,Modular Kit Building,"GD.17.4,GD.18.1","GD.17.4,GD.18.4",Art & Design Fundamentals | Worldbuilding,"Modular kits build game worlds. GD.18.1 was department roles, unrelated."
YES,learn/blender/objects-transforms-and-pivots.md,BLND-102,"Objects, Transforms, and Pivots",GD.17.4,4.3,Industry-Standard Technology,Transform tooling is software fluency.
YES,learn/blender/poly-budget-and-lods.md,BLND-212,Poly Budget and LODs,"GD.18.8,GD.18.8",GD.18.8,Game Performance & Evaluation,Deduped. Poly budget and LODs are performance optimization.
YES,learn/blender/primitive-modeling.md,BLND-103,Primitive Modeling,GD.17.4,"GD.17.4,AV.17.8",Art & Design Fundamentals | 3D Animation Fundamentals,Modeling props for 3D games; AV.17.8 covers modeling props and vehicles.
YES,learn/blender/retopology.md,BLND-301,Retopology,GD.17.4,"GD.17.4,GD.18.8",Art & Design Fundamentals | Game Performance & Evaluation,Retopology serves both asset quality and runtime performance.
YES,learn/blender/saving-packing-and-exporting.md,BLND-107,"Saving, Packing, and Exporting","4.5,15.8",4.5,Document & Asset Management,"Save/pack/export is asset and file management. 15.8 was editing fundamentals, unrelated."
YES,learn/blender/sculpting-introduction.md,BLND-203,Sculpting Introduction,GD.17.4,"GD.17.4,AV.17.2","Art & Design Fundamentals | Life Drawing, Anatomy & Perspective",Sculpting organic forms invokes anatomy and proportion.
YES,learn/blender/texturing-and-pbr-maps.md,BLND-205,Texturing and PBR Maps,10.3,"AV.17.1,GD.17.4",Art & Design Fundamentals | Art & Design Fundamentals,AV.17.1 covers shading and color to establish atmosphere.
YES,learn/blender/topology-and-edge-flow.md,BLND-201,Topology and Edge Flow,"GD.17.4,GD.17.4","GD.17.4,AV.17.8",Art & Design Fundamentals | 3D Animation Fundamentals,Deduped. Topology serves both game asset craft and animation-ready modeling.
YES,learn/blender/uv-unwrapping.md,BLND-204,UV Unwrapping,"GD.17.4,GD.17.4","GD.17.4,AV.17.8",Art & Design Fundamentals | 3D Animation Fundamentals,Deduped.
YES,learn/blender/viewport-shading-and-preview.md,BLND-106,Viewport Shading and Preview,GD.17.4,4.3,Industry-Standard Technology,Viewport display settings are tool operation.
YES,learn/career/artist-statement-and-bio.md,CAREER-106,Artist Statement and Bio,3.8,"3.8,2.5",Resumes & Portfolios | Workplace Writing Formats,Personal statement is named in 3.8; 2.5 covers writing formats.
YES,learn/career/building-a-google-sites-portfolio.md,CAREER-104,Building a Google Sites Portfolio,"3.4,3.8",3.8,Resumes & Portfolios,"Portfolio development. 3.4 was employment opportunities, unrelated."
YES,learn/career/cross-sector-careers-for-game-skills.md,CAREER-203,Cross-Sector Careers for Game Skills,3.1,GD.19.4,Cross-Sector,GD.19.4 is cross-sector careers for game designers.
YES,learn/career/documenting-your-work.md,CAREER-105,Documenting Your Work,3.8,"3.8,4.5",Resumes & Portfolios | Document & Asset Management,Documenting work feeds the portfolio and asset management.
YES,learn/career/entrepreneurship-and-freelancing.md,CAREER-204,Entrepreneurship and Freelancing,13.2,"GD.19.5,3.9",Entrepreneurship | Entrepreneurship & Self-Employment,GD.19.5 is entrepreneurial and freelance careers for game designers.
YES,learn/career/game-industry-roles-map.md,CAREER-201,Game Industry Roles Map,GD.19.1,GD.19.2,Game Design & Development,GD.19.2 is careers in game design and development. GD.19.1 is pre-production only.
YES,learn/career/interests-skills-and-aptitude.md,CAREER-110,"Interests, Skills, and Aptitude",3.1,3.2,Annual Career Planning,"Interest, skill, and aptitude assessments are named in 3.2."
YES,learn/career/interviews-and-portfolio-review.md,CAREER-114,Interviews and Portfolio Review,"2.3,3.8","3.4,2.3",Employment Opportunities | Oral Communication & Presentation Skills,3.4 covers the application process; 2.3 the live speaking.
YES,learn/career/networking-and-professional-presence.md,CAREER-109,Networking and Professional Presence,"2.1,3.3","3.3,2.4",Networking | Social Media Networking,3.3 is Networking; 2.4 is professional social media.
YES,learn/career/pathways-focus-areas-job-titles.md,CAREER-103,"Pathways, Focus Areas, Job Titles","3.1,3.2",3.1,Career Pathways,Pathway and job title mapping.
YES,learn/career/professional-email-and-communication.md,CAREER-108,Professional Email and Communication,2.1,"2.1,2.5",Professional Communication | Workplace Writing Formats,Professional communication plus workplace writing formats.
YES,learn/career/reading-an-onet-entry.md,CAREER-102,Reading an O*NET Entry,3.2,3.1,Career Pathways,"O*NET research is 3.1 (education, training, credentials), not 3.2 planning."
YES,learn/career/staff-freelance-and-work-for-hire.md,CAREER-113,"Staff, Freelance, and Work for Hire","3.1,13.2","3.6,14.8",Employment Types | Freelance Rights,"3.6 compares temporary, permanent, and work-for-hire employment. Exact match."
